Method: __memset_avx2_unaligned_erms, Block ID: 1, Normal Time: 0.019, Slowdown Time: 0.006, Percentage Increase: -68.42105263157895%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1957, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1958, Normal Time: 0.0, Slowdown Time: 0.008, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 938, Normal Time: 0.013, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1962, Normal Time: 0.0, Slowdown Time: 0.003, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 939, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1963, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 940, Normal Time: 0.007, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 941, Normal Time: 0.014, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1966, Normal Time: 0.0, Slowdown Time: 0.079, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1967, Normal Time: 0.0, Slowdown Time: 0.008, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 944, Normal Time: 0.006, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1968, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 945, Normal Time: 0.013, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1969, Normal Time: 0.0, Slowdown Time: 0.003, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 946, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1970, Normal Time: 0.0, Slowdown Time: 0.006, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 947, Normal Time: 0.029, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1971, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 948, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 949, Normal Time: 0.01, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 950, Normal Time: 0.015, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 951, Normal Time: 0.039, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1975, Normal Time: 0.0, Slowdown Time: 0.283, Percentage Increase: 0.0%
