benchmark,median_total_samples_bubo_off,median_total_samples_bubo_on
Mandelbrot,8446398,10823012

method,n_runs_off,median_samples_bubo_off,n_runs_on,median_samples_bubo_on,diff_on_minus_off,pct_change_vs_off
java.lang.StringLatin1.toUpperCase,3,64,3,65,1,1.5625
java.util.concurrent.ConcurrentHashMap.addCount,2,35,2,34,-1,-2.857142857142857
sun.nio.cs.UTF_8.updatePositions,1,31,1,30,-1,-3.225806451612903
syscall_exit_work_[k],2,35,1,34,-1,-2.857142857142857
FieldInfoComparator::compare_to,2,33,2,33,0,0.0
FieldInfoReader::read_field_info,3,34,2,34,0,0.0
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.FilteredNodeIterable* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.FilteredNodeIterable::and,2,35,1,35,0,0.0
LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.extended.AnchoringNode* LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.common.LoweringPhase::process,2,35,2,35,0,0.0
LibGraalClassLoader_6d026701::jdk.vm.ci.hotspot.HotSpotResolvedJavaType* LibGraalClassLoader_6d026701::jdk.vm.ci.hotspot.HotSpotJVMCIRuntime::fromClass0,2,34,3,34,0,0.0
Symbol::as_C_string,2,37,3,37,0,0.0
int org.graalvm.collections.EconomicMapImpl::getHashArray,2,38,3,38,0,0.0
java.lang.Object* java.util.concurrent.ConcurrentHashMap::get,3,65,3,65,0,0.0
java.lang.String.charAt,3,33,3,33,0,0.0
kmem_cache_alloc_[k],2,27,3,27,0,0.0
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.TypedGraphNodeIterator::forward,3,48,3,48,0,0.0
InstanceKlass::find_local_field,0,,1,32,,
JavaFrameAnchor::make_walkable,1,29,0,,,
Mutex::lock_without_safepoint_check,2,38,0,,,
_IO_default_xsputn,1,31,0,,,
___pthread_mutex_trylock,2,33,0,,,
__alloc_pages_[k],2,29,0,,,
__fpu_restore_sig_[k],1,45,0,,,
__hrtimer_init_[k],1,20,0,,,
__x64_sys_futex_[k],0,,1,21,,
__x64_sys_rt_sigreturn_[k],1,10,0,,,
_raw_spin_unlock_irq_[k],2,25,0,,,
boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass$RawEdgesIterator::hasNext,0,,1,30,,
boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass::dataEquals,1,29,0,,,
boolean com.oracle.svm.core.heap.ReferenceInternals::refersTo,1,34,0,,,
boolean com.oracle.svm.core.monitor.JavaMonitor::tryRelease,0,,1,45,,
copy_user_enhanced_fast_string_[k],1,26,0,,,
do_futex_[k],1,25,0,,,
do_set_pte_[k],1,27,0,,,
do_syscall_64_[k],1,21,0,,,
folio_add_lru_[k],2,36,0,,,
generic_exec_single_[k],2,39,0,,,
get_page_from_freelist_[k],0,,2,34,,
int LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.cfg.HIRBlock$ModifiableBlock::getSuccessorCount,0,,1,31,,
int LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.common.CanonicalizerPhase::processWorkSet,0,,1,32,,
int LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::pushUnprocessedInputs,1,39,0,,,
int LibGraalClassLoader_6d026701::jdk.graal.compiler.util.json.JsonParser::next,1,32,0,,,
int LibGraalClassLoader_6d026701::jdk.vm.ci.hotspot.HotSpotSignature::parseSignature,0,,1,41,,
int com.oracle.svm.core.handles.ThreadLocalHandles::popFramesIncluding,0,,1,58,,
java.io.BufferedOutputStream.flushBuffer,1,29,0,,,
java.lang.Object* com.oracle.svm.core.jni.JNIObjectHandles::getObject,0,,2,42,,
java.lang.Object* java.util.HashMap::putVal,0,,1,61,,
java.lang.String$$StringConcat.0x000000000c044000.concat,1,58,0,,,
java.lang.String$$StringConcat.0x000000003e044000.concat,0,,1,46,,
java.lang.String$$StringConcat.0x000000006e044000.concat,0,,1,56,,
java.lang.String$$StringConcat.0x0000000075044000.concat,0,,1,59,,
java.lang.String$$StringConcat.0x0000000076044000.concat,1,89,0,,,
java.lang.String$$StringConcat.0x000000009f044000.concat,1,62,0,,,
java.lang.String* LibGraalClassLoader_6d026701::jdk.vm.ci.meta.JavaMethod::format,0,,2,49,,
java.lang.String.checkBoundsBeginEnd,1,42,0,,,
java.lang.String.hashCode,0,,3,552814,,
java.lang.String.isLatin1,0,,2,30,,
java.lang.System$Out.write,2,35,0,,,
java.lang.invoke.LambdaForm$DMH.0x000000003e044400.invokeSpecial,0,,1,31,,
java.lang.invoke.LambdaForm$DMH.0x000000006e044400.invokeSpecial,0,,1,32,,
java.lang.invoke.LambdaForm$MH.0x000000003e045000.invoke,0,,1,31,,
java.lang.invoke.LambdaForm$MH.0x0000000076045000.invoke,1,36,0,,,
java.lang.invoke.LambdaForm$MH.0x0000000076045400.linkToTargetMethod,1,31,0,,,
java.nio.Buffer::Buffer,0,,1,43,,
java.nio.HeapCharBuffer.<init>,1,32,0,,,
java.security.Provider.putPropertyStrings,1,31,0,,,
java.util.Arrays.copyOf,0,,2,30,,
java.util.Iterator* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.FilteredNodeIterable::iterator,1,32,0,,,
jdk.internal.misc.Unsafe.getReferenceAcquire,1,32,0,,,
jdk.internal.util.ArraysSupport.vectorizedHashCode,0,,1,32,,
long LibGraalClassLoader_6d026701::jdk.graal.compiler.hotspot.meta.Bubo.BuboNativeBuffers::readCyclesAt,0,,3,73,,
long LibGraalClassLoader_6d026701::jdk.graal.compiler.serviceprovider.GlobalAtomicLong::getAddress,0,,3,81,,
mt_find_[k],1,29,0,,,
page_add_file_rmap_[k],1,28,0,,,
prepare_alloc_pages.constprop.0_[k],1,29,0,,,
restore_fpregs_from_user_[k],1,58,0,,,
update_sd_lb_stats.constprop.0_[k],0,,1,26,,
update_sg_lb_stats_[k],2,30,0,,,
void LibGraalClassLoader_6d026701::jdk.graal.compiler.hotspot.meta.Bubo.BuboNativeBuffers::ensureInitialized,0,,3,43,,
void LibGraalClassLoader_6d026701::jdk.graal.compiler.hotspot.meta.Bubo.BuboPrinter::BuboLIRPrint,0,,1,40,,
void LibGraalClassLoader_6d026701::jdk.graal.compiler.lir.LIRIntrospection::forEach,0,,1,31,,
void LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.cfg.HIRBlock::assignPredecessorsAndSuccessors,0,,1,37,,
void com.oracle.svm.core.code.IsolateEnterStub::JNIFunctions_SetObjectArrayElement_HwUmnOxcMMAwrQfMQzBSK4,0,,1,39,,
void com.oracle.svm.core.monitor.MultiThreadedMonitorSupport::monitorExit,0,,1,39,,
void java.lang.String::getBytes,0,,1,40,,
void org.graalvm.collections.EconomicMapImpl::setValue,0,,1,36,,
xfs_dir2_leaf_getdents?[xfs]_[k],0,,1,50,,
