"block_id","pos_index","address_timed","asm_timed_raw","time_sec","address_summary","asm_summary_raw","has_source","source"
"203","0","","nop dword ptr [rax+rax*1]","","","mov dword ptr [r15 + 0x484], 0xffffffe5; mov qword ptr [r15 + 0x490], 0; call 5; nop dword ptr [rax + rax]","",""
"203","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"203","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"203","3","","call 0x7faf2805417a","","","","",""
"204","0","","nop dword ptr [rax+rax*1]","","","","",""
"204","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"204","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"204","3","","data16 nop","","","","",""
"204","4","","call 0x7faf2805417a","","","","",""
"201","0","","nop dword ptr [rax+rax*1]","","","","",""
"201","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"201","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"201","3","","call 0x7faf2805417a","","","","",""
"202","0","","nop dword ptr [rax+rax*1]","","","","",""
"202","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"202","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"202","3","","call 0x7faf2805417a","","","","",""
"207","0","","nop dword ptr [rax+rax*1]","","","","",""
"207","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"207","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"207","3","","call 0x7faf2805417a","","","","",""
"208","0","","nop dword ptr [rax+rax*1]","","","","",""
"208","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"208","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"208","3","","call 0x7faf2805417a","","","","",""
"205","0","","nop dword ptr [rax+rax*1]","","","","",""
"205","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"205","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"205","3","","call 0x7faf2805417a","","","","",""
"206","0","","nop dword ptr [rax+rax*1]","","","mov edx, dword ptr [rsp + 0x34]; mov dword ptr [r15 + 0x484], 0xffffffe5; mov qword ptr [r15 + 0x490], 0; call 5; nop dword ptr [rax + rax]","",""
"206","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"206","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"206","3","","call 0x7faf2805417a","","","","",""
"27","0","","mov edi, dword ptr [rsi+0x14]","0.000","","mov ebx, dword ptr [rsi + 0x14]; cmp r10d, dword ptr [rbx*8 + 0xc]; jae 0xe","",""
"27","1","","data16 nop","","","","",""
"27","2","","cmp r9d, dword ptr [rdi*8+0xc]","0.004","","","",""
"27","3","","jnb 0x7faf280c322e <Block 137>","","","","",""
"100","0","","mov byte ptr [rdx*8+0x13], 0x1","0.014","","nop word ptr [rax + rax]; cmp dword ptr [r11 + 0xc], 6; jb 0x15","",""
"100","1","","mov byte ptr [r9+r11*8+0x10], 0x1","0.068","","","",""
"100","2","","mov byte ptr [r8+rcx*8+0x10], 0x1","0.064","","","",""
"100","3","","shl rdx, 0x3","0.040","","","",""
"100","4","","mov r11, rdx","0.018","","","",""
"100","5","","jmp 0x7faf280c2883 <Block 14>","0.022","","","",""
"221","0","","nop dword ptr [rax+rax*1]","","","","",""
"221","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"221","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"221","3","","call 0x7faf2805417a","","","","",""
"28","0","","cmp byte ptr [r9+rdi*8+0x10], 0x0","0.001","","nop; cmp byte ptr [r10 + rbx*8 + 0x10], 0; jne 0xf","",""
"28","1","","jz 0x7faf280c2800 <Block 5>","0.004","","","",""
"101","0","","mov ecx, dword ptr [rsi+0x18]","0.030","","","",""
"101","1","","nop dword ptr [rax+rax*1]","0.039","","","",""
"101","2","","cmp dword ptr [rcx*8+0xc], 0x5","0.030","","","",""
"101","3","","jb 0x7faf280c32be <Block 145>","0.053","","","",""
"222","0","","nop dword ptr [rax+rax*1]","","","","",""
"222","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"222","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"222","3","","call 0x7faf2805417a","","","","",""
"29","0","","jmp 0x7faf280c2be7 <Block 69>","0.003","","mov r9d, r10d; jmp 0xfffffffffffffe67","",""
"220","0","","nop dword ptr [rax+rax*1]","","","","",""
