"vtune_block_id","graal_block_id","line_index","line_text","line_time","source"
"39","49","1","mov r8d, r10d","0.007","null"
"39","49","2","data16 nop","0.003","at Queens.placeQueen(int) [bci: 2]"
"39","49","3","jmp 0x7faf280c2854 <Block 11>","0.005","at Queens.placeQueen(int) [bci: 2]"
"34","29","1","mov r9d, r10d","0.005","null"
"34","29","2","jmp 0x7faf280c2827 <Block 8>","0.006","at Queens.placeQueen(int) [bci: 2]"
"35","44","1","mov ebx, dword ptr [rsi+0xc]","0.053","at Queens.getRowColumn(int, int) [bci: 10]"
"35","44","2","nop word ptr [rax+rax*1]","0.054","at Queens.getRowColumn(int, int) [bci: 16]"
"35","44","3","cmp ecx, dword ptr [rbx*8+0xc]","0.083","at Queens.getRowColumn(int, int) [bci: 16]"
"35","44","4","jnb 0x7faf280c32e5 <Block 147>","","at Queens.getRowColumn(int, int) [bci: 16]"
"36","45","1","cmp byte ptr [rcx+rbx*8+0x10], 0x0","0.169","at Queens.getRowColumn(int, int) [bci: 17]"
"36","45","2","jz 0x7faf280c2bcd <Block 66>","0.132","at Queens.getRowColumn(int, int) [bci: 17]"
"37","47","1","mov edi, dword ptr [rsi+0x14]","0.071","at Queens.getRowColumn(int, int) [bci: 21]"
"37","47","2","nop dword ptr [rax+rax*1]","0.035","at Queens.getRowColumn(int, int) [bci: 30]"
"37","47","3","cmp r10d, dword ptr [rdi*8+0xc]","0.035","at Queens.getRowColumn(int, int) [bci: 30]"
"37","47","4","jnb 0x7faf280c32e5 <Block 147>","","at Queens.getRowColumn(int, int) [bci: 30]"
"30","24","1","mov r8d, dword ptr [rsp+0x30]","0.051","null"
"30","24","2","mov ecx, dword ptr [rsi+0xc]","0.147","at Queens.getRowColumn(int, int) [bci: 10]"
"30","24","3","cmp r8d, dword ptr [rcx*8+0xc]","0.063","at Queens.getRowColumn(int, int) [bci: 16]"
"30","24","4","jnb 0x7faf280c3278 <Block 141>","","at Queens.getRowColumn(int, int) [bci: 16]"
"31","25","1","nop word ptr [rax+rax*1]","0.146","at Queens.getRowColumn(int, int) [bci: 17]"
"31","25","2","cmp byte ptr [r8+rcx*8+0x10], 0x0","0.058","at Queens.getRowColumn(int, int) [bci: 17]"
"31","25","3","jz 0x7faf280c2bc5 <Block 65>","0.175","at Queens.getRowColumn(int, int) [bci: 17]"
"32","27","1","mov ebx, dword ptr [rsi+0x14]","0.042","at Queens.getRowColumn(int, int) [bci: 21]"
"32","27","2","cmp r10d, dword ptr [rbx*8+0xc]","0.035","at Queens.getRowColumn(int, int) [bci: 30]"
"32","27","3","jnb 0x7faf280c3278 <Block 141>","","at Queens.getRowColumn(int, int) [bci: 30]"
"33","28","1","data16 nop","0.088","at Queens.placeQueen(int) [bci: 14]"
"33","28","2","cmp byte ptr [r10+rbx*8+0x10], 0x0","0.023","at Queens.placeQueen(int) [bci: 14]"
"33","28","3","jnz 0x7faf280c2cbd <Block 77>","0.066","at Queens.placeQueen(int) [bci: 14]"
"27","7","1","mov edi, dword ptr [rsi+0x14]","0","at Queens.getRowColumn(int, int) [bci: 21]"
"27","7","2","data16 nop","","at Queens.getRowColumn(int, int) [bci: 30]"
"27","7","3","cmp r9d, dword ptr [rdi*8+0xc]","0.004","at Queens.getRowColumn(int, int) [bci: 30]"
"27","7","4","jnb 0x7faf280c322e <Block 137>","","at Queens.getRowColumn(int, int) [bci: 30]"
"100","79","1","mov byte ptr [rdx*8+0x13], 0x1","0.014","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"100","79","2","mov byte ptr [r9+r11*8+0x10], 0x1","0.068","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"100","79","3","mov byte ptr [r8+rcx*8+0x10], 0x1","0.064","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"100","79","4","shl rdx, 0x3","0.040","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"100","79","5","mov r11, rdx","0.018","null"
"100","79","6","jmp 0x7faf280c2883 <Block 14>","0.022","at Queens.placeQueen(int) [bci: 58]"
"28","8","1","cmp byte ptr [r9+rdi*8+0x10], 0x0","0.001","at Queens.placeQueen(int) [bci: 14]"
"28","8","2","jz 0x7faf280c2800 <Block 5>","0.004","at Queens.placeQueen(int) [bci: 14]"
"101","90","1","mov ecx, dword ptr [rsi+0x18]","0.030","at Queens.placeQueen(int) [bci: 18]"
"101","90","2","nop dword ptr [rax+rax*1]","0.039","at Queens.placeQueen(int) [bci: 23]"
"101","90","3","cmp dword ptr [rcx*8+0xc], 0x5","0.030","at Queens.placeQueen(int) [bci: 23]"
"101","90","4","jb 0x7faf280c32be <Block 145>","0.053","at Queens.placeQueen(int) [bci: 23]"
"23","161","1","mov eax, 0x0","0.174","at Queens.placeQueen(int) [bci: 65]"
"23","161","2","mov rbp, qword ptr [rsp+0x40]","0.213","at Queens.placeQueen(int) [bci: 65]"
"23","161","3","add rsp, 0x48","0.166","at Queens.placeQueen(int) [bci: 65]"
"23","161","4","cmp rsp, qword ptr [r15+0x450]","0.241","at Queens.placeQueen(int) [bci: 65]"
"23","161","5","jnbe 0x7faf280c34c8 <Block 179>","","at Queens.placeQueen(int) [bci: 65]"
"25","4","1","mov ecx, dword ptr [rsi+0xc]","","at Queens.getRowColumn(int, int) [bci: 10]"
"25","4","2","nop word ptr [rax+rax*1]","","at Queens.getRowColumn(int, int) [bci: 16]"
"25","4","3","cmp edx, dword ptr [rcx*8+0xc]","0.005","at Queens.getRowColumn(int, int) [bci: 16]"
"25","4","4","jnb 0x7faf280c322e <Block 137>","","at Queens.getRowColumn(int, int) [bci: 16]"
"26","5","1","mov ebx, edx","0.005","at Queens.getRowColumn(int, int) [bci: 16]"
"26","5","2","cmp byte ptr [rbx+rcx*8+0x10], 0x0","","at Queens.getRowColumn(int, int) [bci: 17]"
"26","5","3","jz 0x7faf280c2800 <Block 5>","0.013","at Queens.getRowColumn(int, int) [bci: 17]"
"20","123","1","mov r9d, dword ptr [rsp+0x30]","0.086","null"
"21","140","1","nop dword ptr [rax+rax*1]","0.267","at Queens.getRowColumn(int, int) [bci: 5]"
"21","140","2","cmp dword ptr [r11+0xc], 0x8","0.179","at Queens.getRowColumn(int, int) [bci: 5]"
"21","140","3","jb 0x7faf280c3462 <Block 167>","0.156","at Queens.getRowColumn(int, int) [bci: 5]"
"22","142","1","cmp byte ptr [r11+0x17], 0x0","0.198","at Queens.getRowColumn(int, int) [bci: 6]"
"22","142","2","jnz 0x7faf280c2b65 <Block 60>","0.267","at Queens.getRowColumn(int, int) [bci: 6]"
"56","125","1","nop word ptr [rax+rax*1]","0.242","at Queens.getRowColumn(int, int) [bci: 17]"
"56","125","2","cmp byte ptr [r10+rdx*8+0x10], 0x0","0.117","at Queens.getRowColumn(int, int) [bci: 17]"
"56","125","3","jz 0x7faf280c2bdd <Block 68>","0.240","at Queens.getRowColumn(int, int) [bci: 17]"
"57","127","1","mov r8d, dword ptr [rsp+0x30]","0.098","null"
"57","127","2","mov r9d, dword ptr [rsi+0x14]","0.075","at Queens.getRowColumn(int, int) [bci: 21]"
"57","127","3","nop word ptr [rax+rax*1]","0.118","at Queens.getRowColumn(int, int) [bci: 30]"
"57","127","4","cmp r8d, dword ptr [r9*8+0xc]","0.106","at Queens.getRowColumn(int, int) [bci: 30]"
"57","127","5","jnb 0x7faf280c3251 <Block 139>","","at Queens.getRowColumn(int, int) [bci: 30]"
"58","128","1","cmp byte ptr [r8+r9*8+0x10], 0x0","0.186","at Queens.placeQueen(int) [bci: 14]"
"58","128","2","jnz 0x7faf280c307e <Block 117>","0.192","at Queens.placeQueen(int) [bci: 14]"
"59","129","1","mov r9d, r8d","0.080","null"
"59","129","2","data16 nop","0.056","at Queens.placeQueen(int) [bci: 2]"
"59","129","3","jmp 0x7faf280c28db <Block 21>","0.069","at Queens.placeQueen(int) [bci: 2]"
"52","107","1","mov ecx, dword ptr [rsp+0x14]","0.077","null"
"52","107","2","mov r8d, dword ptr [rsi+0x14]","0.092","at Queens.getRowColumn(int, int) [bci: 21]"
"52","107","3","nop dword ptr [rax+rax*1]","0.054","at Queens.getRowColumn(int, int) [bci: 30]"
"52","107","4","data16 nop","0.098","at Queens.getRowColumn(int, int) [bci: 30]"
"52","107","5","cmp ecx, dword ptr [r8*8+0xc]","0.080","at Queens.getRowColumn(int, int) [bci: 30]"
"52","107","6","jnb 0x7faf280c3308 <Block 149>","","at Queens.getRowColumn(int, int) [bci: 30]"
"53","108","1","cmp byte ptr [rcx+r8*8+0x10], 0x0","0.157","at Queens.placeQueen(int) [bci: 14]"
"53","108","2","jz 0x7faf280c28b6 <Block 18>","0.180","at Queens.placeQueen(int) [bci: 14]"
"55","124","1","mov r10d, dword ptr [rsp+0x1c]","0.114","null"
"55","124","2","mov edx, dword ptr [rsi+0xc]","0.094","at Queens.getRowColumn(int, int) [bci: 10]"
"55","124","3","cmp r10d, dword ptr [rdx*8+0xc]","0.109","at Queens.getRowColumn(int, int) [bci: 16]"
"55","124","4","jnb 0x7faf280c3251 <Block 139>","","at Queens.getRowColumn(int, int) [bci: 16]"
"50","104","1","mov r10d, dword ptr [rsp+0x18]","0.081","null"
"50","104","2","mov edx, dword ptr [rsi+0xc]","0.148","at Queens.getRowColumn(int, int) [bci: 10]"
"50","104","3","cmp r10d, dword ptr [rdx*8+0xc]","0.092","at Queens.getRowColumn(int, int) [bci: 16]"
"50","104","4","jnb 0x7faf280c3308 <Block 149>","","at Queens.getRowColumn(int, int) [bci: 16]"
"51","105","1","nop word ptr [rax+rax*1]","0.286","at Queens.getRowColumn(int, int) [bci: 17]"
"51","105","2","cmp byte ptr [r10+rdx*8+0x10], 0x0","0.131","at Queens.getRowColumn(int, int) [bci: 17]"
"51","105","3","jz 0x7faf280c28b6 <Block 18>","0.259","at Queens.getRowColumn(int, int) [bci: 17]"
"45","84","1","mov edx, dword ptr [rsi+0xc]","0.144","at Queens.getRowColumn(int, int) [bci: 10]"
"45","84","2","nop word ptr [rax+rax*1]","0.070","at Queens.getRowColumn(int, int) [bci: 16]"
"45","84","3","cmp r8d, dword ptr [rdx*8+0xc]","0.079","at Queens.getRowColumn(int, int) [bci: 16]"
"45","84","4","jnb 0x7faf280c32be <Block 145>","","at Queens.getRowColumn(int, int) [bci: 16]"
"46","85","1","cmp byte ptr [r8+rdx*8+0x10], 0x0","0.194","at Queens.getRowColumn(int, int) [bci: 17]"
"46","85","2","jz 0x7faf280c2899 <Block 16>","0.142","at Queens.getRowColumn(int, int) [bci: 17]"
"47","87","1","mov r10d, dword ptr [rsi+0x14]","0.050","at Queens.getRowColumn(int, int) [bci: 21]"
"47","87","2","data16 nop","0.077","at Queens.getRowColumn(int, int) [bci: 30]"
"47","87","3","cmp r9d, dword ptr [r10*8+0xc]","0.047","at Queens.getRowColumn(int, int) [bci: 30]"
"47","87","4","jnb 0x7faf280c32be <Block 145>","","at Queens.getRowColumn(int, int) [bci: 30]"
"48","88","1","cmp byte ptr [r9+r10*8+0x10], 0x0","0.099","at Queens.placeQueen(int) [bci: 14]"
"48","88","2","jz 0x7faf280c2899 <Block 16>","0.142","at Queens.placeQueen(int) [bci: 14]"
"41","65","1","nop word ptr [rax+rax*1]","0.157","at Queens.getRowColumn(int, int) [bci: 17]"
"41","65","2","cmp byte ptr [r9+rbx*8+0x10], 0x0","0.087","at Queens.getRowColumn(int, int) [bci: 17]"
"41","65","3","jz 0x7faf280c2bd5 <Block 67>","0.187","at Queens.getRowColumn(int, int) [bci: 17]"
"42","67","1","mov edi, dword ptr [rsi+0x14]","0.071","at Queens.getRowColumn(int, int) [bci: 21]"
"42","67","2","cmp r10d, dword ptr [rdi*8+0xc]","0.065","at Queens.getRowColumn(int, int) [bci: 30]"
"42","67","3","jnb 0x7faf280c329b <Block 143>","","at Queens.getRowColumn(int, int) [bci: 30]"
"43","68","1","data16 nop","0.113","at Queens.placeQueen(int) [bci: 14]"
"43","68","2","cmp byte ptr [r10+rdi*8+0x10], 0x0","0.061","at Queens.placeQueen(int) [bci: 14]"
