benchmark,mode,run_name,file_path,total_cycles,bench_method,comp_id,comp_name,encoding,selected_loop_id,selected_loop_cycles
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench7,126,InnerLoopStepBenchmark.bench7(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,17270228
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench8,128,InnerLoopStepBenchmark.bench8(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,19636650
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench9,130,InnerLoopStepBenchmark.bench9(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,29248180
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench10,132,InnerLoopStepBenchmark.bench10(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,43751122
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench11,134,InnerLoopStepBenchmark.bench11(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,68882530
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench12,136,InnerLoopStepBenchmark.bench12(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,101221262
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench13,140,InnerLoopStepBenchmark.bench13()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,145043446
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench14,143,InnerLoopStepBenchmark.bench14()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,241738056
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench15,147,InnerLoopStepBenchmark.bench15()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,603527744
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench1,113,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1384082
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench2,115,InnerLoopStepBenchmark.bench2(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1982876
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench3,117,InnerLoopStepBenchmark.bench3(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2841412
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench4,119,InnerLoopStepBenchmark.bench4(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,4217750
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench5,123,InnerLoopStepBenchmark.bench5()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,5890516
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench6,124,InnerLoopStepBenchmark.bench6(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,9289286
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench7,126,InnerLoopStepBenchmark.bench7(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,13548546
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench8,128,InnerLoopStepBenchmark.bench8(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,19625098
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench9,130,InnerLoopStepBenchmark.bench9(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,29272598
