Benchmark,Index,Activation Count
DeltaBlue,jdk.internal.classfile.impl.RawBytecodeHelper.bci(),3456
DeltaBlue,java.util.zip.Inflater$InflaterZStreamRef.address(),252
DeltaBlue,java.lang.String.coder(),16456
DeltaBlue,java.security.ProtectionDomain.getCodeSource(),120
DeltaBlue,"jdk.internal.util.Preconditions.checkIndex(int,",4476
DeltaBlue,java.lang.String.value(),1150
DeltaBlue,jdk.internal.constant.ClassOrInterfaceDescImpl.descriptorString(),988
DeltaBlue,som.Vector.<init>(int),203791
DeltaBlue,deltablue.Planner$8.apply(int),391048
DeltaBlue,deltablue.Variable.<init>(),94980
DeltaBlue,deltablue.Strength.absoluteWeakest(),6
DeltaBlue,"java.util.Arrays.setAll(Object[],",790428
DeltaBlue,"java.util.Arrays.setAll(Object[],-Re-Comp",1200024
DeltaBlue,"jdk.internal.util.ArraysSupport.unsignedHashCode(int,",39420
DeltaBlue,jdk.internal.classfile.impl.BufWriterImpl.size(),668
DeltaBlue,jdk.internal.util.WeakReferenceKey.hashCode(),170
DeltaBlue,deltablue.Variable.getWalkStrength(),90136
DeltaBlue,deltablue.Variable.getMark(),214002
DeltaBlue,deltablue.Strength.getArithmeticValue(),26882
DeltaBlue,deltablue.Variable.getStay(),48644
DeltaBlue,deltablue.Variable.getDeterminedBy(),101908
DeltaBlue,deltablue.Variable.setMark(int),139536
DeltaBlue,deltablue.Strength$Sym.customHash(),13312
DeltaBlue,deltablue.Variable.setDeterminedBy(AbstractConstraint),54294
DeltaBlue,deltablue.Variable.setWalkStrength(Strength),23826
DeltaBlue,deltablue.Variable.setStay(boolean),23826
DeltaBlue,deltablue.Variable.getValue(),187352
DeltaBlue,deltablue.Variable.setValue(int),85792
DeltaBlue,deltablue.Variable.getConstraints(),119044
DeltaBlue,som.Vector.append(Object),123162
DeltaBlue,deltablue.BinaryConstraint.getOutput(),40700
DeltaBlue,som.Vector.isEmpty(),463916
DeltaBlue,deltablue.Variable.addConstraint(AbstractConstraint),122388
DeltaBlue,deltablue.Strength.weaker(Strength),27144
DeltaBlue,som.Dictionary.hash(Dictionary$CustomHash),80
DeltaBlue,som.Dictionary.getBucketIdx(int),64
DeltaBlue,java.lang.invoke.DirectMethodHandle.allocateInstance(Object),44680
DeltaBlue,java.lang.invoke.DirectMethodHandle.constructorMethod(Object),7458
DeltaBlue,som.Dictionary.at(Dictionary$CustomHash),152
DeltaBlue,deltablue.Strength.of(Strength$Sym),40
DeltaBlue,som.Vector.forEach(ForEachInterface),29
DeltaBlue,"deltablue.Planner.addPropagate(AbstractConstraint,",48
DeltaBlue,"deltablue.EqualityConstraint.<init>(Variable,",1657216
DeltaBlue,deltablue.AbstractConstraint.<init>(Strength$Sym),162860
DeltaBlue,deltablue.AbstractConstraint.addConstraint(Planner),1
DeltaBlue,deltablue.Planner.incrementalAdd(AbstractConstraint),2884964
DeltaBlue,deltablue.Planner.newMark(),15378
DeltaBlue,"deltablue.AbstractConstraint.satisfy(int,",1
DeltaBlue,deltablue.BinaryConstraint.chooseMethod(int),13
DeltaBlue,deltablue.Strength.stronger(Strength),38427
DeltaBlue,deltablue.BinaryConstraint.isSatisfied(),2
DeltaBlue,"java.lang.invoke.Invokers$Holder.linkToTargetMethod(int,",82194
DeltaBlue,"java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object,",520562
DeltaBlue,deltablue.AbstractConstraint$$Lambda/0x000000008f047650.<init>(int),40972
DeltaBlue,deltablue.BinaryConstraint.inputsDo(ForEachInterface),5
DeltaBlue,deltablue.AbstractConstraint$$Lambda/0x000000008f047650.apply(Object),64660
DeltaBlue,deltablue.Planner.chainTest(int),2055048
DeltaBlue,som.Vector.with(Object),165996
DeltaBlue,som.Vector.removeFirst(),870420
DeltaBlue,"deltablue.Planner.addConstraintsConsumingTo(Variable,",12
DeltaBlue,"deltablue.Planner$3.<init>(Planner,",40968
DeltaBlue,deltablue.Planner$3.apply(Object),41485
DeltaBlue,deltablue.Planner$3.apply(AbstractConstraint),3
DeltaBlue,deltablue.BinaryConstraint.recalculate(),10
DeltaBlue,deltablue.Strength.weakest(Strength),270021744
DeltaBlue,deltablue.EqualityConstraint.execute(),6
DeltaBlue,deltablue.BinaryConstraint.getOutput()-Re-Comp,312165
DeltaBlue,som.Vector.forEach(ForEachInterface)-Re-Comp,41604
DeltaBlue,"deltablue.Planner.addPropagate(AbstractConstraint,-Re-Comp",3731910
DeltaBlue,"deltablue.AbstractConstraint.satisfy(int,-Re-Comp",399361
DeltaBlue,deltablue.BinaryConstraint.isSatisfied()-Re-Comp,38589
DeltaBlue,deltablue.Planner.incrementalAdd(AbstractConstraint)-Re-Comp,1651707
DeltaBlue,deltablue.Planner.incrementalAdd(AbstractConstraint)-Re-Comp,5
DeltaBlue,deltablue.BinaryConstraint.chooseMethod(int)-Re-Comp,11
DeltaBlue,deltablue.BinaryConstraint.inputsDo(ForEachInterface)-Re-Comp,40952
DeltaBlue,"deltablue.Planner.addConstraintsConsumingTo(Variable,-Re-Comp",143319
DeltaBlue,deltablue.BinaryConstraint.recalculate()-Re-Comp,428844
DeltaBlue,deltablue.BinaryConstraint.markUnsatisfied(),6916
DeltaBlue,"deltablue.Planner.addPropagate(AbstractConstraint,-Re-Comp",3457503
DeltaBlue,"deltablue.AbstractConstraint.satisfy(int,-Re-Comp",394245
DeltaBlue,deltablue.Planner.incrementalAdd(AbstractConstraint)-Re-Comp,1526560
DeltaBlue,deltablue.Planner.incrementalAdd(AbstractConstraint)-Re-Comp,2220056
DeltaBlue,java.util.ArrayList.size(),338
DeltaBlue,java.lang.invoke.MethodTypeForm.erasedType(),84
DeltaBlue,deltablue.Planner$3.apply(Object)-Re-Comp,101451
DeltaBlue,som.Vector.forEach(ForEachInterface)-Re-Comp,2940349
DeltaBlue,"deltablue.Planner.addConstraintsConsumingTo(Variable,-Re-Comp",358426
DeltaBlue,deltablue.AbstractConstraint.inputsKnown(int),109568
DeltaBlue,deltablue.AbstractConstraint$$Lambda/0x000000008f045218.<init>(int),256
DeltaBlue,deltablue.Plan.append(Object),451970
